,CASE_STATUS,FULL_TIME,PREVAILING_WAGE,lat,lon
229,DENIED,1.0,37544.0,25.7616798,-80.1917902
230,DENIED,1.0,61942.0,40.7127837,-74.00594129999998
231,WITHDRAWN,1.0,63128.0,39.2903848,-76.6121893
232,WITHDRAWN,1.0,78083.0,38.9695545,-77.38609759999999
233,DENIED,1.0,166400.0,34.6182199,-79.00864240000001
234,CERTIFIED-WITHDRAWN,1.0,61693.0,27.950575,-82.4571776
235,CERTIFIED-WITHDRAWN,1.0,63918.0,42.3714253,-83.4702132
236,DENIED,1.0,85467.2,37.665978,-77.5063739
237,DENIED,1.0,58947.0,35.1495343,-90.0489801
238,DENIED,1.0,77542.0,42.25287720000001,-71.0022705
239,CERTIFIED-WITHDRAWN,1.0,26640.0,42.583645,-83.24548829999998
240,CERTIFIED,1.0,68266.0,37.7749295,-122.4194155
241,CERTIFIED-WITHDRAWN,0.0,65083.0,40.4316955,-74.4049778
242,CERTIFIED-WITHDRAWN,1.0,77710.0,42.3303798,-71.166187
243,WITHDRAWN,0.0,65874.0,42.245869,-84.4013462
244,CERTIFIED,1.0,75899.0,40.0064958,-75.70327420000002
245,CERTIFIED,1.0,58302.0,35.2270869,-80.8431267
246,WITHDRAWN,1.0,82930.0,39.0067768,-76.77913649999998
247,CERTIFIED-WITHDRAWN,1.0,59446.0,41.8781136,-87.62979820000002
248,CERTIFIED-WITHDRAWN,1.0,76253.0,25.7616798,-80.1917902
249,WITHDRAWN,1.0,86362.0,47.5301011,-122.0326191
250,CERTIFIED-WITHDRAWN,1.0,45282.0,32.96179,-96.8291685
251,CERTIFIED-WITHDRAWN,1.0,35838.0,39.768403,-86.158068
252,CERTIFIED,0.0,51417.6,43.0906186,-77.5149969
253,CERTIFIED,1.0,60507.0,38.9695545,-77.38609759999999
254,CERTIFIED,1.0,68500.0,39.0066993,-77.4291298
255,DENIED,1.0,35506.0,37.6818745,-121.7680088
256,CERTIFIED,1.0,76627.0,33.7489954,-84.3879824
257,DENIED,1.0,55682.0,36.1699412,-115.13982959999998
258,CERTIFIED,1.0,68370.0,32.96179,-96.8291685
259,DENIED,1.0,77700.0,40.7127837,-74.00594129999998
260,WITHDRAWN,1.0,43618.0,44.977753,-93.2650108
261,DENIED,1.0,88587.0,37.6304904,-122.4110835
